Table Name,Column Name,Data Type,PK,FK Table,FK Column,Comment
gw_core_record_0,id,bigint,Y,,,Primary Key
gw_core_record_0,created_at,timestamp,,,,Creation Date
gw_core_record_0,updated_at,timestamp,,,,Modification Date
gw_core_record_0,status_code,varchar(50),,,,Status Code
gw_core_record_0,data_col_0,int,,,,Random data column 0
gw_core_record_0,data_col_1,int,,,,Random data column 1
gw_core_record_0,data_col_2,boolean,,,,Random data column 2
gw_core_record_0,data_col_3,text,,,,Random data column 3
gw_auth_role_1,id,bigint,Y,,,Primary Key
gw_auth_role_1,created_at,timestamp,,,,Creation Date
gw_auth_role_1,updated_at,timestamp,,,,Modification Date
gw_auth_role_1,status_code,varchar(50),,,,Status Code
gw_auth_role_1,data_col_0,text,,,,Random data column 0
gw_auth_role_1,data_col_1,json,,,,Random data column 1
gw_auth_role_1,data_col_2,json,,,,Random data column 2
gw_auth_role_1,data_col_3,boolean,,,,Random data column 3
gw_auth_role_1,data_col_4,int,,,,Random data column 4
gw_auth_role_1,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_hr_summary_2,id,bigint,Y,,,Primary Key
gw_hr_summary_2,created_at,timestamp,,,,Creation Date
gw_hr_summary_2,updated_at,timestamp,,,,Modification Date
gw_hr_summary_2,status_code,varchar(50),,,,Status Code
gw_hr_summary_2,data_col_0,int,,,,Random data column 0
gw_hr_summary_2,data_col_1,text,,,,Random data column 1
gw_crm_file_3,id,bigint,Y,,,Primary Key
gw_crm_file_3,created_at,timestamp,,,,Creation Date
gw_crm_file_3,updated_at,timestamp,,,,Modification Date
gw_crm_file_3,status_code,varchar(50),,,,Status Code
gw_crm_file_3,data_col_0,int,,,,Random data column 0
gw_crm_file_3,data_col_1,text,,,,Random data column 1
gw_crm_file_3,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_crm_file_3,core_record_0_id,bigint,,gw_core_record_0,id,Foreign Key to gw_core_record_0
gw_mail_temp_4,id,bigint,Y,,,Primary Key
gw_mail_temp_4,created_at,timestamp,,,,Creation Date
gw_mail_temp_4,updated_at,timestamp,,,,Modification Date
